Data Element ID,Data Element,Lookup Table,Code,Description,Terjemahan
administration_route,Administration Route,Administration Route,IVSB,Intravenous Slow Bolus,Bolus perlahan intravenus
administration_route,Administration Route,Administration Route,MOTH,Mouth/Throat,Mulut/Tekak
administration_route,Administration Route,Administration Route,NASL,Nasal Canular,Ruang hidung
administration_route,Administration Route,Administration Route,NG,Nasogastric,Nasogastrik
administration_route,Administration Route,Administration Route,ORAL,Oral,Makan/minum
administration_route,Administration Route,Administration Route,PERC,Percutaneous,Perkutan
administration_route,Administration Route,Administration Route,PERF,Perfusion,Perfusi
administration_route,Administration Route,Administration Route,REAP,Regional Block,Blok sekawasan
administration_route,Administration Route,Administration Route,RECT,Rectal,Dalam rektum
administration_route,Administration Route,Administration Route,SBCJ,Subconjunctival,Subkonjungtiva
administration_route,Administration Route,Administration Route,SC,Subcutaneous,Bawah kulit
administration_route,Administration Route,Administration Route,SOBT,Soak,Ubat rendam
administration_route,Administration Route,Administration Route,SUBL,Sublingual,Bawah lidah
administration_route,Administration Route,Administration Route,SUBM,Submucosal,Bawah mukosa
administration_route,Administration Route,Administration Route,SUCK,Suck,Hisap
administration_route,Administration Route,Administration Route,TDER,Transdermal,Atas kulit
administration_route,Administration Route,Administration Route,TOPI,Topical,Ubat sapu
administration_route,Administration Route,Administration Route,WASH,Wash,Ubat cucian
hospital_specific,Admission ward,Admission ward (Hospital Specific),,Private Hospital,
hospital_specific,Admission ward,Admission ward (Hospital Specific),,Non MOH Hospital,
hospital_specific,Admission ward,Admission ward (Hospital Specific),,Government hospital,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,413004,11‐Oxysteroid Activity Increased,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,413005,17‐Hydroxysteroid Activity Increased,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,2119002,21‐Hydroxylase Deficiency,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,711001,Abdomen Enlarged,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1559001,Abdominal Adhesions,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,2220002,Abdominal Compartment Syndrome,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,268013,Abdominal Discomfort,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,711005,Abdominal Distension,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,711004,Abdominal Distension Gaseous,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,268003,Abdominal Distress,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,2158002,Abdominal Neoplasm,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,268001,Abdominal Pain,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,268016,Abdominal Pain Aggravated,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,268007,Abdominal Pain Lower,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,268009,Abdominal Pain Upper,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1874001,Abdominal Rigidity,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1832002,Abdominal Strangulated Hernia,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,268017,Abdominal Tenderness,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,690002,Abdominal Transposition,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,2367001,Abnormal Behaviour,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,2367002,Abnormal Behaviour Aggravated,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,132008,Abnormal Eye Movements,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1933001,Abnormal Palmar/Plantar Creases,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,244002,Abnormal Sensation In Eye,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,195006,Abnormal Sleep Related Event,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,634001,Abortion,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,634004,Abortion Induced,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,634007,Abortion Induced Incomplete,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,634005,Abortion Infected,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,635001,Abortion Missed,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,634006,Abortion Spontaneous Complicated,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,634008,Abortion Spontaneous Incomplete,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1236001,Abortion Threatened,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1708001,Abrasion NOS,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,660003,Abruptio Placentae,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1208001,Abscences,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,887001,Abscess,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,887022,Abscess Abdominal,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,887023,Abscess Biliary,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,887024,Abscess Brain,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,887017,Abscess Breast,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,887011,Abscess Chest Wall,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,887019,Abscess CNS,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,887025,Abscess Gastrointestinal Tract,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,887020,Abscess Genital Female,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,887021,Abscess Genital Male,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,887026,Abscess Jaw,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,887027,Abscess Joint,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,887028,Abscess Liver,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,887007,Abscess Muscle,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,887009,Abscess Myocardial,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,887015,Abscess Nasal,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,887010,Abscess Neck,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,887014,Abscess Oral Cavity,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,887013,Abscess Pancreas,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,887018,Abscess Pelvis,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,887004,Abscess Perianal,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,887005,Abscess Peritoneal,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,887031,Abscess Pilonidal,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,887032,Abscess Pulmonary,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,887006,Abscess Retroperitoneal,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,887003,Abscess Skin & Subcutaneous Tissue,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,887033,Abscess Spleen,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,887012,Abscess Urinary Tract,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,167018,Abulia,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1877005,Acalculia,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1052001,Acanthosis,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1052002,Acanthosis Nigricans,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1952002,Accident At Home,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1952003,Accident At Work,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1952001,Accident NOS,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,2276001,Accidental Drug Intake By Child,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1615004,Accidental Needle Stick,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1615003,Accidental Overdose,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,202001,Accommodation Abnormal,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,202004,Accommodation Disorder,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,202003,Accommodation Disturbance,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,202006,Accommodation Paralysis,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,202007,Accommodation Spasm,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,2096002,Ace Increased,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,393006,Acetonaemia,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,393005,Acetone Breath,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,393004,Acetonuria,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1152001,Achalasia Cardiae,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1001003,Achilles Tendinitis,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1074006,Achilles Tendon Discomfort,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1074005,Achilles Tendon Injury,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1074009,Achilles Tendon Pain,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1900003,Achilles Tendon Rupture,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1374003,Achilles Tenosynovitis,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,799005,Achlorhydria,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,799004,Achylia Gastrica,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,739005,Acid Fast Stain Positive,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,279003,Acid Indigestion,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,992003,Acid Phosphatase Serum Increased,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,2238001,Acid‐Base Balance Disorder Mixed,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,363001,Acidosis,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,363008,Acidosis Hyperchloraemic,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,364001,Acidosis Lactic,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,363005,Acidosis Metabolic,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,2343001,Acidosis Metabolic Neonatal,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1465001,Acidosis Respiratory,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,738008,Acinetobacter Infection,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1001,Acne,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1007,Acne Aggravated,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,5003,Acne Bromata,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1008,Acne Conglobata,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1005,Acne Cystic,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1006,Acne Pustular,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1003,Acneiform Dermatitis,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1233003,Acquired Immune Deficiency Syndrome,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,501003,Acrocyanosis,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1455001,Acrodermatitis,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1791001,Acrodynia,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1315004,Acromegaly,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1586001,Acroosteolysis,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,189023,Acrophobia,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1935001,Actinomycosis,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,114014,Activity Motor Exaggerated,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,118009,Activity Motor Retarded,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,268015,Acute Abdomen,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,429004,Acute Coronary Syndrome,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,2239002,Acute Febrile Neutrophilic Dermatosis,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1846001,Acute Generalized Exanthematous Pustulosis,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,575005,Acute Myeloid Leukaemia Aggravated,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1894002,Acute Stress Disorder,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1894001,Acute Stress Reaction,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1698001,Acute Urethral Syndrome,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,2027003,Adactyly,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,432001,Adams Stokes Syndrome,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,192008,Adaptation Abnormal,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,174006,Addiction Any Drug,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,410013,Addison's Disease,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,942004,Adductor Vocal Cord Weakness,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1289001,Adenocarcinoma NOS,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,2022001,Adenoid Hypertrophy,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,2070001,Adenoiditis,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1928001,Adenoma,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1810001,Adenoma Adrenal,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1928002,Adenoma Benign,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,649002,Adenomyosis,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,577007,Adenosis Sclerosing,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,906002,Adenosquamous Cell Lung Cancer,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,543004,Adenoviral Upper Respiratory Infection,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,740005,Adenovirus Infection,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,883003,ADH Disorder,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1973002,Adhesions Post‐Operative,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,97004,Adiadokokinesis,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1139001,Adiposis Dolorosa,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,409006,Adrenal Cortex Activity Increased,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,410012,Adrenal Cortex Dysfunction,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,410003,Adrenal Cortex Dysplasia,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,409003,Adrenal Cortex Hyperfunction,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,410005,Adrenal Cortex Hypofunction,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,410015,Adrenal Cortex Necrosis,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,410006,Adrenal Cortical Insufficiency,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,410007,Adrenal Crisis,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,410014,Adrenal Disorder,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,2184001,Adrenal Gland Disorder Congenital,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,759001,Adrenal Haemorrhage,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,409001,Adrenal Hypercorticism,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,410008,Adrenal Hypofunction,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,410001,Adrenal Insufficiency,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,410004,Adrenal Storm,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,410009,Adrenal Suppression,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,825001,Adrenogenital Syndrome Congenital,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,716010,Adynamia,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,517005,Aerophagia,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,167012,Affect Lack,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,167011,Affect Loss,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,193006,Affective Disorder NOS,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,2058002,African Trypanosomiasis,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,757001,AG Ratio Abnormal,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,900004,Agammaglobulinaemia,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1846003,AGEP,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,266005,Ageusia,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,162007,Aggression Aggravated,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,162001,Aggressive Reaction,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,162004,Aggressiveness,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,163001,Agitation,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,163008,Agitation Aggravated,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,163003,Agitation Mental,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,919001,Agitation Neonatal,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,433007,Agonal Rhythm,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,189021,Agoraphobia,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,570004,Agranulocytic Angina,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,570001,Agranulocytosis,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,2104002,Aicardi's Syndrome,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1233001,AIDS,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1233005,AIDS Encephalopathy,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1233004,AIDS Related Complication,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1748001,Air Embolism,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,517004,Air Hunger,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,1749001,Airways Obstruction,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,114004,Akathisia,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,114019,Akathisia Aggravated,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,118003,Akinesia,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,118010,Akinetic Mutism,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,360007,Alanine Aminotransferase Increased,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,166014,Alarm (Not Alarm Reaction),
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,360005,Alat Increased,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,757003,Albumin Globulin Ratio Abnormal,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,757005,Albumin Globulin Ratio Decreased,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,757004,Albumin Globulin Ratio Increased,
adverse_drug_reaction_type,Adverse Drug Reaction Type,Adverse Drug Reaction Type,595001,Albuminuria,
