facility_code,facility_name,facility_shortname,address_1,address_2,district,state,postcode,sector,type,latitude,longitude
21-01010139,KLINIK DESA BATU PUTIH,KDBTPTH,"KG BATU PUTIH SIMPANG LIMA, MUKIM 2 BANGAN",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK DESA,1.8891,102.87775
21-01010342,KLINIK DESA SRI LADANG,KDSLADG,"KAMPONG SRI LADANG, MUKIM 11 SUNGAI PUNGGUR",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK DESA,1.72554,103.14862
21-01010247,KLINIK DESA BELEMAM,KDBLMM,"KAMPUNG PARIT BELEMAM, MUKIM 6, LINAU",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK DESA,1.91869,102.92154
21-01010290,KLINIK DESA PARIT SEMARANG,KDPS,"KG PARIT SEMARANG, MUKIM 8 SRI GADING",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK DESA,1.88362,103.15039
21-01010168,KLINIK DESA KAMPUNG BARU,KDKBR,"KG BARU PARIT YAANI, MUKIM 7 TANJUNG SEMBRONG",,BATU PAHAT,JOHOR,87000,GOVERNMENT,KLINIK DESA,1.90512,103.03723
21-01010271,KLINIK DESA PARIT KUDA,KDPKD,"JALAN MUAR KAMPUNG PARIT KUDA, MUKIM 2 BAGAN",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK DESA,1.86473,103.81435
21-01010229,KLINIK DESA SUNGAI LINAU KECIL,KDSLK,"KG LINAU KECIL, MUKIM 5 SIMPANG KANAN",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK DESA,1.87253,102.93067
21-01010235,KLINIK DESA MINYAK BEKU,KDMBK,"KG MINYAK BEKU, MUKIM 9 SIMPANG KANAN",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK DESA,1.79129,102.89404
21-01010345,KLINIK DESA SRI MENANTI,KDSMNT,"KAMPUNG SRI MENANTI, MUKIM 18 SRI MEDAN",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK DESA,2.01013,102.97406
21-01010261,KLINIK DESA PARIT HYLAM,KDPHYL,"KG PARIT HYLAM, MUKIM 7 TANJUNG SEMBRONG",,BATU PAHAT,JOHOR,87000,GOVERNMENT,KLINIK DESA,1.72163,103.08015
21-01010260,KLINIK DESA PARIT AMIL,KDPAML,"KG. PARIT AMIL, MUKIM 7 TANJUNG SEMBRONG",,BATU PAHAT,JOHOR,87000,GOVERNMENT,KLINIK DESA,1.967214,103.052444
21-01010222,KLINIK DESA PARIT LAPIS SEMPADAN,KDPLS,"KG. PARIT LAPIS SEMPADAN, PARIT RAJA, MUKIM 8 SRI GADING",,BATU PAHAT,JOHOR,86400,GOVERNMENT,KLINIK DESA,1.81665,103.11945
21-01010346,KLINIK DESA SRI MENDAPAT,KDSMND,"KAMPONG SRI MENDAPAT, MUKIM 7 TANJUNG SEMBRONG",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK DESA,1.93368,103.08321
21-01010248,KLINIK DESA PARIT BETALING,KDPBTLG,"KAMPUNG BETALING SRI MEDAN, MUKIM 18 SRI MEDAN",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK DESA,2.02919,102.98374
21-01010258,KLINIK DESA PARIT HAJI SALAM,KDPHS,"KG PARIT SALAM, MUKIM 3 PESERAI",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK DESA,1.8392,102.87806
21-01010347,KLINIK DESA PARIT NIPAH,KDPNP,"KG. PARIT NIPAH DARAT PARIT RAJA, MUKIM 8 SRI GADING",,BATU PAHAT,JOHOR,86400,GOVERNMENT,KLINIK DESA,1.843984,103.146016
21-01010325,KLINIK DESA SEJAGONG,KDSJG,SRI MEDAN,,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK DESA,2.06875,102.9474
21-01010277,KLINIK DESA PARIT PANDAN,KDPPND,"KAMPONG PARIT PANDAN SRI GADING, MUKIM 8 SRI GADING",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK DESA,1.82084,103.06503
21-01010210,KLINIK DESA KANGKAR SENANGAR,KDKSNGR,"KG. KANGKAR SENAGAR PARIT SULONG, MUKIM 18 SRI MEDAN",,BATU PAHAT,JOHOR,83500,GOVERNMENT,KLINIK DESA,2.028458,102.884881
21-01010273,KLINIK DESA PARIT LUBUK,KDPLB,"KG. PARIT LUBUK, MUKIM 1 SEMERAH",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK DESA,1.91175,102.80834
21-01010141,KLINIK DESA BEROLEH,KDBRLH,"KG. BEROLEH SUNGAI GADING, MUKIM 5 SIMPANG KANAN",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK DESA,1.87789,102.985754
21-01010208,KLINIK DESA KANGKAR BARU,KDKGB,"KG. KANGKAR BARU, YONG PENG, MUKIM 7 TANJUNG SEMBRONG",,BATU PAHAT,JOHOR,87000,GOVERNMENT,KLINIK DESA,2.06531,103.12484
21-01010306,KLINIK DESA PERPAT,KDPRPT,"KG. PERPAT, MUKIM 11 SUNGAI PUNGGUR",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK DESA,1.72131,103.12645
21-01010295,KLINIK DESA PARIT YOB,KDPY,"PEKAN PARIT YAANI, YONG PENG, MUKIM 6 LINAU",,BATU PAHAT,JOHOR,83710,GOVERNMENT,KLINIK DESA,1.89869,103.02322
21-01010294,KLINIK DESA PARIT WARIJO,KDPW,"KG. PARIT WARIJO SRI MEDAN, MUKIM 18 SRI MEDAN",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK DESA,2.00995,102.94438
21-01010336,KLINIK DESA SIMPANG 6,KDS6,"KAMPONG SIMPANG ENAM RENGIT, MUKIM 11 SUNGAI PUNGGUR",,BATU PAHAT,JOHOR,83100,GOVERNMENT,KLINIK DESA,1.77506,103.14424
21-01010308,KLINIK DESA PESERAI,KDPSR,"BATU 4 1/2 JALAN PESERAI, MUKIM 3 PESERAI",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK DESA,1.84944,102.90492
21-01010243,KLINIK DESA PARIT ABDUL RAHMAN,KDPAR,"KG PARIT ABDUL RAHMAN, MUKIM 4 SIMPANG KIRI",,BATU PAHAT,JOHOR,83500,GOVERNMENT,KLINIK DESA,1.93139,102.89017
21-01010252,KLINIK DESA PARIT GANTONG,KDPGTG,"KG PARIT GANTONG, MUKIM 18 SRI MEDAN",,BATU PAHAT,JOHOR,83500,GOVERNMENT,KLINIK DESA,2.00155,102.86493
21-01010331,KLINIK DESA SEPARAP,KDSPRP,"KG PARIT SEPARAP, MUKIM 4 SIMPANG KIRI",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK DESA,1.90999,102.86731
21-01010300,KLINIK DESA PATAH PEDANG,KDPPD,"KG PATAH PEDANG, MUKIM 9 SIMPANG KANAN",,BATU PAHAT,JOHOR,83030,GOVERNMENT,KLINIK DESA,1.77769,102.90729
21-01010264,KLINIK DESA PARIT JELUTONG,KDPJLT,"KAMPONG PARIT JELUTONG, MUKIM 8 SRI GADING",,BATU PAHAT,JOHOR,86400,GOVERNMENT,KLINIK DESA,1.847441,103.084695
21-01010287,KLINIK DESA PARIT SANGIT,KDPSG,"KAMPUNG PARIT SANGIT, MUKIM 2 BAGAN",,BATU PAHAT,JOHOR,83600,GOVERNMENT,KLINIK DESA,1.90059,102.82298
21-01010357,KLINIK DESA SUNGAI MERLONG,KDSMRL,"KG SUNGAI MERLONG, MUKIM 12 SUNGAI KLUANG",,BATU PAHAT,JOHOR,83100,GOVERNMENT,KLINIK DESA,1.66576,103.18359
21-01010269,KLINIK DESA PARIT KEMANG,KDPKMG,"KAMPUNG PARIT KEMANG, SENGGARANG, MUKIM 10 KAMPUNG BARU",,BATU PAHAT,JOHOR,83200,GOVERNMENT,KLINIK DESA,1.75532,103.10791
21-01010370,KLINIK DESA TANJUNG LABOH,KDTLBH,"BATU 10 KAMPUNG KORIS TANJUNG LABOH, MUKIM 9 MINYAK BEKU",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK DESA,1.75515,103.01356
21-01010090,KLINIK KESIHATAN PESTA,,"PTD 13591, KAMPUNG KENANG-KENANGAN DATO' ONN, JALAN PERAK, SIMPANG KANAN",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK KESIHATAN,1.85602,102.94301
21-01010097,KLINIK KESIHATAN SENGGARANG,,"LOT 6700, JALAN BESAR SENGGARANG, MINYAK BEKU",,BATU PAHAT,JOHOR,83200,GOVERNMENT,KLINIK KESIHATAN,1.749411,103.045797
21-01010079,KLINIK KESIHATAN PARIT SULONG,,"LOT 608, PEKAN PARIT SULONG, SIMPANG KIRI",,BATU PAHAT,JOHOR,83500,GOVERNMENT,KLINIK KESIHATAN,1.977011,102.881409
21-01010096,KLINIK KESIHATAN SEMERAH,,"JALAN MUAR SEMERAH, MUKIM 1 LUBOK",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK KESIHATAN,1.88143,102.78493
21-01010029,KLINIK KESIHATAN AYER HITAM,,"PTD 5728, JLN BESAR KE YONG PENG, SRI GADING",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK KESIHATAN,1.925772,103.17746
21-01010039,KLINIK KESIHATAN BATU PAHAT,,"PTD 6625, JALAN KLUANG BATU PAHAT, SIMPANG KANAN",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK KESIHATAN,1.8501,102.942
21-01010102,KLINIK KESIHATAN SRI MEDAN,,"LOT 5660, PEKAN SRI MEDAN, MUKIM 18",,BATU PAHAT,JOHOR,83400,GOVERNMENT,KLINIK KESIHATAN,1.9878,102.96149
21-01010112,KLINIK KESIHATAN TONGKANG PECHAH,,"PTD 1921, JALAN BESAR TONGKANG PECAH, LINAU",,BATU PAHAT,JOHOR,83010,GOVERNMENT,KLINIK KESIHATAN,1.909484,102.952112
21-01010101,KLINIK KESIHATAN SRI GADING,,"LOT 5360, SRI GADING, JALAN KLUANG, SIMPANG KANAN",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK KESIHATAN,1.854231,103.027944
21-01010115,KLINIK KESIHATAN YONG PENG,,"LOT 8905, JALAN BESAR YONG PENG, SEMERONG",,BATU PAHAT,JOHOR,87000,GOVERNMENT,KLINIK KESIHATAN,2.008469,103.054958
21-01010093,KLINIK KESIHATAN RENGIT,,"TLO 52, JALAN BESAR RENGIT, RENGIT",,BATU PAHAT,JOHOR,83100,GOVERNMENT,KLINIK KESIHATAN,1.350095,104.223969
21-01010077,KLINIK KESIHATAN PARIT RAJA,,"MLO 261, JALAN BESAR AIR HITAM, SRI GADING",,BATU PAHAT,JOHOR,86400,GOVERNMENT,KLINIK KESIHATAN,1.863694,103.10959
21-01010080,KLINIK KESIHATAN PARIT YAANI,,"LOT 9167, PEKAN PARIT YAANI, MUKIM 7",,BATU PAHAT,JOHOR,83710,GOVERNMENT,KLINIK KESIHATAN,1.957593,103.027664
21-01010030,KLINIK KESIHATAN BAGAN,,"MLO 091, PEKAN PARIT BESAR BAGAN, BAGAN",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK KESIHATAN,1.849188,102.855339
21-01010078,KLINIK KESIHATAN SRI MERLONG,,"LOT 5086, KAMPUNG SRI MERLONG, SUNGAI KLUANG",,BATU PAHAT,JOHOR,83100,GOVERNMENT,KLINIK KESIHATAN,1.733468,103.188941
21-01010471,KLINIK 1MALAYSIA TAMAN BUKIT FLORA,K1MTBF,"42, JALAN GEMILANG, TAMAN BUKIT FLORA 1",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK KOMUNITI,1.8143082,102.957146
41-01010710,KLINIK PERGIGIAN DI HOSPITAL SULTANAH NORA ISMAIL,,"JALAN KORMA, TAMAN SOGA 83000 BATU PAHAT",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK PERGIGIAN DI HOSPITAL,3.1297910922828622,101.32895324153138
21-01010102D,KLINIK PERGIGIAN DI KLINIK KESIHATAN SRI MEDAN,,"LOT 5660, PEKAN SRI MEDAN, 83400 MUKIM 18",,BATU PAHAT,JOHOR,83400,GOVERNMENT,KLINIK PERGIGIAN DI KLINIK KESIHATAN,,
21-01010093D,KLINIK PERGIGIAN DI KLINIK KESIHATAN RENGIT,,"TLO 52, JALAN BESAR RENGIT, 83500 RENGIT",,BATU PAHAT,JOHOR,83100,GOVERNMENT,KLINIK PERGIGIAN DI KLINIK KESIHATAN,,
21-01010029D,KLINIK PERGIGIAN DI KLINIK KESIHATAN AYER HITAM,KPKKAH,"PTD 5728, JLN BESAR KE YONG PENG, 83000 SRI GADING",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK PERGIGIAN DI KLINIK KESIHATAN,2.6175294488929057,103.38271875000001
21-01010039D,KLINIK PERGIGIAN DI KLINIK KESIHATAN BATU PAHAT,,"PTD 6625, JALAN KLUANG BATU PAHAT, SIMPANG KANAN",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK PERGIGIAN DI KLINIK KESIHATAN,3.9363418747336993,104.24833259505463
21-01010030D,KLINIK PERGIGIAN DI KLINIK KESIHATAN BAGAN,,"MLO 091, PEKAN PARIT BESAR BAGAN, 83000 BAGAN",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK PERGIGIAN DI KLINIK KESIHATAN,,
21-01010097D,KLINIK PERGIGIAN DI KLINIK KESIHATAN SENGGARANG,,"LOT 6700, JALAN BESAR SENGGARANG, 83200 MINYAK BEKU",,BATU PAHAT,JOHOR,83200,GOVERNMENT,KLINIK PERGIGIAN DI KLINIK KESIHATAN,,
21-01010112D,KLINIK PERGIGIAN DI KLINIK KESIHATAN TONGKANG PECAH,,"PTD 1921, JALAN BESAR TONGKANG PECAH, 83010 LINAU",,BATU PAHAT,JOHOR,83010,GOVERNMENT,KLINIK PERGIGIAN DI KLINIK KESIHATAN,,
21-01010077D,KLINIK PERGIGIAN DI KLINIK KESIHATAN PARIT RAJA,,"MLO 261, JALAN BESAR AIR HITAM, 86400 SRI GADING",,BATU PAHAT,JOHOR,86400,GOVERNMENT,KLINIK PERGIGIAN DI KLINIK KESIHATAN,,
21-01010101D,KLINIK PERGIGIAN DI KLINIK KESIHATAN SRI GADING,,"LOT 5360, SRI GADING, JALAN KLUANG, 83000 SIMPANG KANAN",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK PERGIGIAN DI KLINIK KESIHATAN,,
21-01010115D,KLINIK PERGIGIAN DI KLINIK KESIHATAN YONG PENG,,"LOT 8905, JALAN BESAR YONG PENG, 87000 SEMERONG",,BATU PAHAT,JOHOR,87000,GOVERNMENT,KLINIK PERGIGIAN DI KLINIK KESIHATAN,,
21-01010080D,KLINIK PERGIGIAN DI KLINIK KESIHATAN PARIT YAANI,,"LOT 9167, PEKAN PARIT YAANI, 83710 MUKIM 7",,BATU PAHAT,JOHOR,83710,GOVERNMENT,KLINIK PERGIGIAN DI KLINIK KESIHATAN,,
21-01010090D,KLINIK PERGIGIAN DI KLINIK KESIHATAN PESTA,,"PTD 13591, KAMPUNG KENANG-KENANGAN DATO' ONN, JALAN PERAK, 83000 SIMPANG KANAN",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK PERGIGIAN DI KLINIK KESIHATAN,,
21-01010079D,KLINIK PERGIGIAN DI KLINIK KESIHATAN PARIT SULONG,,"LOT 608, PEKAN PARIT SULONG, 83500 SIMPANG KIRI",,BATU PAHAT,JOHOR,83500,GOVERNMENT,KLINIK PERGIGIAN DI KLINIK KESIHATAN,,
21-01010078D,KLINIK PERGIGIAN DI KLINIK KESIHATAN SRI MERLONG,,"LOT 5086, KAMPUNG SRI MERLONG, 83100 SUNGAI KLUANG",,BATU PAHAT,JOHOR,83100,GOVERNMENT,KLINIK PERGIGIAN DI KLINIK KESIHATAN,3.158458240339954,101.71590063494874
21-01010096D,KLINIK PERGIGIAN DI KLINIK KESIHATAN SEMERAH,KPKKSMR,"JALAN MUAR SEMERAH, 83000 MUKIM 1 LUBOK",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK PERGIGIAN DI KLINIK KESIHATAN,,
21-01010695,"KLINIK PERGIGIAN SEKOLAH, D/A SEK. MEN. KEB. KG. DATUK MENTERI",KPSMKKDM,AYER HITAM,,BATU PAHAT,JOHOR,86100,GOVERNMENT,KLINIK PERGIGIAN SEKOLAH,1.915516,103.177965
21-01010659,"KLINIK PERGIGIAN SEKOLAH, D/A SEK. KEB. BANDAR BATU PAHAT",KPSKBBP,JKR 32 JALAN MASJID,,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK PERGIGIAN SEKOLAH,1.846618,102.927925
21-01010673,"KLINIK PERGIGIAN SEKOLAH, D/A SEK. KEB. PINTAS PUDING",KPSKPPPR,"KM 21, JALAN KLUANG",,BATU PAHAT,JOHOR,86400,GOVERNMENT,KLINIK PERGIGIAN SEKOLAH,1.858203,103.100212
21-01010690,"KLINIK PERGIGIAN SEKOLAH, D/A SEK. KEB. YONG PENG",KPSKYP,"NO 1, JALAN SEKOLAH CINA",,BATU PAHAT,JOHOR,83700,GOVERNMENT,KLINIK PERGIGIAN SEKOLAH,2.014004,103.060802
21-01010672,"KLINIK PERGIGIAN SEKOLAH, D/A SEK. KEB. PESERIAN SEMERAH",KPSKPSBP,KM 101 JALAN MUAR,,BATU PAHAT,JOHOR,83600,GOVERNMENT,KLINIK PERGIGIAN SEKOLAH,1.880212,102.783597
21-01010694,"KLINIK PERGIGIAN SEKOLAH, D/A SEK. MEN. KEB. DATO' ONN",KPSMKDO,SIMPANG LIMA,,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK PERGIGIAN SEKOLAH,1.852652,102.887844
21-01010696,"KLINIK PERGIGIAN SEKOLAH, D/A SEK. MEN. KEB. MUNSHI SULAIMAN",KPSMKMSPR,"BT.4, JALAN KLUANG",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK PERGIGIAN SEKOLAH,1.868409,102.97861
21-01010668,"KLINIK PERGIGIAN SEKOLAH, D/A SEK. KEB. LIMPOON BATU PAHAT",KPSKLBP,JALAN LIM LEONG,,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK PERGIGIAN SEKOLAH,1.850016,102.950652
21-01010662,"KLINIK PERGIGIAN SEKOLAH, D/A SEK. KEB. CONVENT BATU PAHAT",KPSKCBP,"250, JALAN TAN SWEE HOE",,BATU PAHAT,JOHOR,83000,GOVERNMENT,KLINIK PERGIGIAN SEKOLAH,1.863714,102.949085
41-01010021,KOLEJ JURURAWAT MASYARAKAT,,JALAN KLUANG,,BATU PAHAT,JOHOR,83000,GOVERNMENT,KOLEJ,,
31-01011953,WELLNESS HUB BATU PAHAT,,"WELLNESS HUB BATU PAHAT, JALAN KLUANG, TAMAN LIMPOON, 83000 BATU PAHAT, JOHOR",,BATU PAHAT,JOHOR,83000,GOVERNMENT,LAIN-LAIN,,
91-01010002,PEJABAT KESIHATAN DAERAH BATU PAHAT,PKDBP,"JALAN MD KHALID, BATU PAHAT",,BATU PAHAT,JOHOR,83000,GOVERNMENT,PEJABAT KESIHATAN DAERAH,1.84989,102.93012
91-01010401,PMA BATU PAHAT (L),,PKD BATU PAHAT,"TERMINAL FERI MINYAK BEKU, JALAN MINYAK BEKU, 83000 BATU PAHAT JOHOR",BATU PAHAT,JOHOR,83000,GOVERNMENT,"PINTU MASUK LAUT (L), UDARA (U),DARAT (D)",1.837051,102.923535
11-01020400,HOSPITAL SULTAN ISMAIL JOHOR BAHRU,,"JALAN PERSIARAN MUTIARA EMAS UTAMA, TAMAN MOUNT AUSTIN",,JOHOR BAHRU,JOHOR,81100,GOVERNMENT,HOSPITAL,1.546984,103.790915
11-01020010,"HOSPITAL SULTANAH AMINAH, JOHOR BAHRU",,JOHOR BAHRU,,JOHOR BAHRU,JOHOR,80100,GOVERNMENT,HOSPITAL,1.45852,103.74591
11-01020020,HOSPITAL PERMAI,,"JALAN TAMPOI, TAMPOI",,JOHOR BAHRU,JOHOR,81200,GOVERNMENT,INSTITUSI KHAS,1.5209,103.71261
21-01020211,KLINIK DESA KANGKAR TEBRAU,KDKTBR,"JKR 2163, JALAN KANGKAR TEBRAU",,JOHOR BAHRU,JOHOR,81100,GOVERNMENT,KLINIK DESA,1.53564,103.757951
21-01020206,KLINIK DESA TIRAM DUKU,KDTDK,"JALAN TG KUPANG, TIRAM DUKU, GELANG PATAH",,JOHOR BAHRU,JOHOR,81560,GOVERNMENT,KLINIK DESA,1.38243,103.56832
21-01020215,KLINIK DESA KEMPAS BARU,KDKMPBR,JKR 5853 JALAN LURAH 3,,JOHOR BAHRU,JOHOR,81200,GOVERNMENT,KLINIK DESA,1.53267,103.71484
21-01020339,KLINIK DESA SKUDAI,KDSKD,"15A & 15B, JALAN LAWANG BATU 10, SKUDAI",,JOHOR BAHRU,JOHOR,81300,GOVERNMENT,KLINIK DESA,1.53821,103.66023
21-01020389,KLINIK DESA ULU TEBRAU (FELDA),KDUT,"3195A-FELDA ULU TEBRAU, JALAN ANGGERIK",,JOHOR BAHRU,JOHOR,81800,GOVERNMENT,KLINIK DESA,1.63325,103.75984
21-01020228,KLINIK DESA LIMA KEDAI,KDLKD,"3773, JLN BAHAGIA 1, UMA KEDAI, GELANG PATAH",,JOHOR BAHRU,JOHOR,81120,GOVERNMENT,KLINIK DESA,1.50216,103.61673
21-01020364,KLINIK DESA SUNGAI TIRAM,KDSTRM,"JKR 2114, JALAN SG TIRAM, ULU TIRAM",,JOHOR BAHRU,JOHOR,81800,GOVERNMENT,KLINIK DESA,1.5854,103.88062
21-01020305,KLINIK DESA PERMAS JAYA,KDPMJ,"JKR 5942, JLN PERMAS 1/27",,JOHOR BAHRU,JOHOR,81750,GOVERNMENT,KLINIK DESA,1.51017,103.82005
21-01020367,KLINIK DESA TANJONG LANGSAT,KDTLGS,"JKR 5376, KG TG LANGSAT, MASAI",,JOHOR BAHRU,JOHOR,81750,GOVERNMENT,KLINIK DESA,1.46822,104.00688
21-01020179,KLINIK DESA MAJU JAYA,KDMJY,"JKR 4798, KG MAJU JAYA, TAMPOI",,JOHOR BAHRU,JOHOR,81300,GOVERNMENT,KLINIK DESA,1.58128,103.71783
21-01020209,KLINIK DESA KANGKAR PULAI,KDKPULAI,"JKR 2622, KANGKAR PULAI, TAMPOI",,JOHOR BAHRU,JOHOR,81110,GOVERNMENT,KLINIK DESA,1.55772,103.592255
21-01020183,KLINIK DESA PASIR PUTIH,KDPPTH,"JKR 4498, KG PASIR PUTIH",,JOHOR BAHRU,JOHOR,81700,GOVERNMENT,KLINIK DESA,1.43489,103.93095
21-01020310,KLINIK DESA PLENTONG,KDPLTG,"JKR 6124, JALAN BUNGA MATAHARI",,JOHOR BAHRU,JOHOR,81750,GOVERNMENT,KLINIK DESA,1.52262,103.82061
21-01020167,KLINIK DESA BAKAR BATU,KDBBATU,"JKR 3302, JALAN SEKOLAH BAKAR BATU",,JOHOR BAHRU,JOHOR,80150,GOVERNMENT,KLINIK DESA,1.49833,103.78583
21-01020188,KLINIK DESA KAMPUNG PULAI,KDKPL,"JKR 340, JALAN KG PULAI, GELANG PATAH",,JOHOR BAHRU,JOHOR,81300,GOVERNMENT,KLINIK DESA,1.477146,103.566077
21-01020131,KLINIK DESA ANTOI,KDANT,"JKR 2170, JALAN ANTOI",,JOHOR BAHRU,JOHOR,81100,GOVERNMENT,KLINIK DESA,1.506667,103.768932
21-01020356,KLINIK DESA SUNGAI MELAYU,KDSMLY,"JKR 2168, KG SG MELAYU, TAMPOI",,JOHOR BAHRU,JOHOR,80200,GOVERNMENT,KLINIK DESA,1.4519,103.69329
21-01020058,KLINIK KESIHATAN MAJIDEE,KKMJD,"JKR 5909/D JLN SEKOLAH KG MELAYU MAJIDEE, JOHOR BAHRU",,JOHOR BAHRU,JOHOR,81100,GOVERNMENT,KLINIK KESIHATAN,1.51435,103.7575
21-01020428,KLINIK KESIHATAN TAMAN UNIVERSITI,,"JALAN KEBUDAYAAN 28, TAMAN UNIVERSITI",,JOHOR BAHRU,JOHOR,81300,GOVERNMENT,KLINIK KESIHATAN,1.537953,103.626726
21-01020715,KLINIK KESIHATAN BUKIT INDAH,,"PTD 89954, JALAN INDAH 4/14, TAMAN BUKIT INDAH",,JOHOR BAHRU,JOHOR,79100,GOVERNMENT,KLINIK KESIHATAN,,
21-01020106,KLINIK KESIHATAN TEBRAU,KKTBRU,"JKR 5409,5410,5413, JALAN KERAMBIT, JOHOR BAHRU",,JOHOR BAHRU,JOHOR,80050,GOVERNMENT,KLINIK KESIHATAN,1.48875,103.77123
