Data Element ID,Data element,DatasetID ,Date created ,Date updated ,Synonyms ,Translation of data element ,Descripton  ,Data element type ,Field property/data type for value,Field size ,Value selection/capture method ,Values/Codes for Values ,Value source 
rtog_grade_ear,Acute Radiation Morbidity Scoring - Ear,Radiotherapy & Oncology,May-13,,,,Scoring system to grade acute morbidity post radiotherapy treatment for Ear,,Alphanumeric,,Select from a shortlist,Refer to lookup table RTOG Grade - Ear,
rtog_grade_eye,Acute Radiation Morbidity Scoring - Eye,Radiotherapy & Oncology,May-13,,,,Scoring system to grade acute morbidity post radiotherapy treatment for Eye,,Alphanumeric,,Select from a shortlist,Refer to lookup table RTOG Grade -Eye,
rtog_grade_genitourinary,Acute Radiation Morbidity Scoring - Genitourinary,Radiotherapy & Oncology,May-13,,,,Scoring system to grade acute morbidity post radiotherapy treatment for genitourinary,,Alphanumeric,,Select from a shortlist,Refer to lookup table RTOG Grade - Genitourinary,
rtog_grade_haematocrit,Acute Radiation Morbidity Scoring - Haematocrit (%),Radiotherapy & Oncology,May-13,,,,Scoring system to grade acute morbidity post radiotherapy treatment for haematocrit,,Alphanumeric,,Select from a shortlist,Refer to lookup table RTOG Grade - Haematocrit,
rtog_grade_haematologic_wbc,Acute Radiation Morbidity Scoring - Haematologic WBC,Radiotherapy & Oncology,May-13,,,,Scoring system to grade acute morbidity post radiotherapy treatment for haematologic,,Alphanumeric,,Select from a shortlist,Refer to lookup table RTOG Grade - Haematologic WBC,
rtog_grade_haemoglobin,Acute Radiation Morbidity Scoring - Haemoglobin (gm %),Radiotherapy & Oncology,May-13,,,,Scoring system to grade acute morbidity post radiotherapy treatment for haemoglobin,,Alphanumeric,,Select from a shortlist,Refer to lookup table RTOG Grade - Haemoglobin,
rtog_grade_heart,Acute Radiation Morbidity Scoring - Heart,Radiotherapy & Oncology,May-13,,,,Scoring system to grade acute morbidity post radiotherapy treatment for heart,,Alphanumeric,,Select from a shortlist,Refer to lookup table RTOG Grade - Heart,
rtog_grade_larynx,Acute Radiation Morbidity Scoring - Larynx,Radiotherapy & Oncology,May-13,,,,Scoring system to grade acute morbidity post radiotherapy treatment for larynx,,Alphanumeric,,Select from a shortlist,Refer to lookup table RTOG Grade - Larynx,
rtog_grade_lower_gi,Acute Radiation Morbidity Scoring - Lower G.I,Radiotherapy & Oncology,May-13,,,,Scoring system to grade acute morbidity post radiotherapy treatment for lower G.I,,Alphanumeric,,Select from a shortlist,Refer to lookup table RTOG Grade - Lower GI,
rtog_grade_lung,Acute Radiation Morbidity Scoring - Lung,Radiotherapy & Oncology,May-13,,,,Scoring system to grade acute morbidity post radiotherapy treatment for lung,,Alphanumeric,,Select from a shortlist,Refer to lookup table RTOG Grade - Lung,
rtog_grade_mucous_membrane,Acute Radiation Morbidity Scoring - Mucous Membrane,Radiotherapy & Oncology,May-13,,,,Scoring system to grade acute morbidity post radiotherapy treatment for mucous membrane,,Alphanumeric,,Select from a shortlist,Refer to lookup table RTOG Grade - Mucous Membrane,
rtog_grade_neutrophils,Acute Radiation Morbidity Scoring - Neutrophils,Radiotherapy & Oncology,May-13,,,,Scoring system to grade acute morbidity post radiotherapy treatment for neutrophils,,Alphanumeric,,Select from a shortlist,Refer to lookup table RTOG Grade - Neutrophils,
rtog_grade_pharynx_oesophagus,Acute Radiation Morbidity Scoring - Pharynx/Oesophagus,Radiotherapy & Oncology,May-13,,,,Scoring system to grade acute morbidity post radiotherapy treatment for pharynx/oesophagus,,Alphanumeric,,Select from a shortlist,Refer to lookup table RTOG Grade - Pharynx/Oesophagus,
rtog_grade_platelets_x1000,Acute Radiation Morbidity Scoring - Platelets,Radiotherapy & Oncology,May-13,,,,Scoring system to grade acute morbidity post radiotherapy treatment for platelets,,Alphanumeric,,Select from a shortlist,Refer to lookup table RTOG Grade - Platelets (x1000),
rtog_grade_salivary_gland,Acute Radiation Morbidity Scoring - Salivary Gland,Radiotherapy & Oncology,May-13,,,,Scoring system to grade acute morbidity post radiotherapy treatment for salivary gland,,Alphanumeric,,Select from a shortlist,Refer to lookup table RTOG Grade - Salivary Gland,
rtog_grade_skin,Acute Radiation Morbidity Scoring - Skin,Radiotherapy & Oncology,May-13,,,,Scoring system to grade acute morbidity post radiotherapy treatment for skin,,Alphanumeric,,Select from a shortlist,Refer to lookup table RTOG Grade - Skin,
rtog_grade_upper_gi,Acute Radiation Morbidity Scoring - Upper G.I,Radiotherapy & Oncology,May-13,,,,Scoring system to grade acute morbidity post radiotherapy treatment for upper G.I,,Alphanumeric,,Select from a shortlist,Refer to lookup table RTOG Grade - Upper GI,
,Address,"Hospital Discharge, Cancer, Forensic, Mental Health/Psychiatric",Mar-03,,,Alamat,House number and street name as per NRIC or as stated by the individual,,Alphanumeric,150 characters,Type in,,Public Sector Data Dictionary (PSDD)
adherence_status,Adherence to Treatment,Mental Health/Psychiatric,Sep-12,,,,Past adherence,,Alphanumeric,,Select from a shortlist,Refer to lookup table Adherence Status,
administration_route,Administration Route,Pharmacy,Sep-12,,,Cara administrasi,Administration route of the drug,,Alphanumeric,20 characters,Select from a shortlist,Refer to lookup table Administration Route,PhIS
,Admission Bed Class,Hospital Discharge,Dec-05,Apr-12,,Kelas katil,To describe the bed classification for use in charging,,Alphanumeric,12 characters,,"1st, 2nd, 3rd Class and VIP/Royal",SMRP
care_provider_discipline,Admission Discipline,Hospital Discharge,Dec-05,,,Disiplin kemasukan,Denotes values used to describe the discipline to which the patient is admitted,,Alphanumeric,30 characters,Select from a shortlist,Refer to lookup table Care Provider Discipline,MoH
,Admission Temperature,MNNR,May-13,,,,First temperature (axillary/rectal) on admission to one decimal point in degree Celsius,,Numeric,4 characters with one decimal place,"Type in, 3 digits with one decimal point",,MNNR
,Admission Type,Hospital Discharge,Dec-05,Apr-12,,Jenis kemasukan,Denotes values for circumstances of admission,,Alphanumeric,20 characters,,Elective/Emergency/Newborn/Delivery,IDS
hospital_specific,Admission Ward,Hospital Discharge,Dec-05,Apr-12,,,Denotes values used to describe the ward number to which the patient was admitted,,Alphanumeric,20 characters,,Lookup Table - Hospital Specific,
,Adverse Drug Reaction Drug Name,Pharmacy,Sep-12,Sep-12,,Nama ubat yang menyebabkan kesan advers ubat,Name of drugs that causes adverse drug reaction,,Alphanumeric,200 characters,,Refer MDC,MDC
,Adverse Drug Reaction Medication Name,Hospital Discharge,Dec-05,Apr-12,ADR drug name,Alahan ubatan,Name of drug that causes allergies or adverse event during current hospitalization,,Alphanumeric,200 characters,,Refer MDC,MoH
adverse_drug_reaction_type,Adverse Drug Reaction Type,Pharmacy,Apr-12,Sep-12,ADR Manifestations,Jenis kesan advers ubat,Type of adverse drug reaction caused by drugs,,Alphanumeric,100 characters,,Refer to lookup table Adverse Drug Reaction Type,WHO
biologic_treatment,Adverse Event(s) during Biologic Treatment,Dermatology,May-13,,,,"Adverse events such as tuberculosis reactivation, septicaemia,lymphoma, cancer other than lymphoma and worsening of psoriasis that developed while patient receiving biologic treatment",,Alphanumeric,50 characters,,Refer to lookup table Adverse Event(s) during Biologic Treatment,
affected_eye_with_armd,Affected Eye with ARMD,Ophthalmology,May-13,,,,Laterality of eye affected by ARMD,,Alphanumeric,,Select from a shortlist,Refer to lookup table Affected Eye with ARMD,
,Age,"Person Record, Hospital Discharge, Cancer, Radiotherapy & Oncology,",Apr-12,Apr-12,,Umur,Biological age of person,,Years/Months/Days,3 characters for number of years,,,
,Age of Corneal Donor,Ophthalmology,May-13,,,,Age of corneal donor at time of death,,Numeric,,Type in,,
,Age of Onset of Retinoblastoma,Ophthalmology,,,,,The age at which the ocular symptoms of retinoblastoma was first noted,,,,,,
,Alcohol Use,Mental Health/Psychiatric,Sep-12,,,,Patient who drinks alcohol on regular basis,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",
allergy,Allergy,"Pharmacy, NOR",Sep-12,,,Alahan,"Abnormal reaction of immune system that occurs due to certain substances such as drug, traditional health supplements, pollens, foods and others",,Alphanumeric,40 characters,Select from a short list,Refer to lookup table Allergy,PhIS
,Amniotic Fluid Embolism,NOR,May-13,,,,Amniotic fluid embolism is when amniotic fluid containing fetal material enters the maternal bloodstream,,,,,,NOR
,Anaesthetic Complication,NOR,May-13,,,,Complication arising from anaesthetic drugs or procedures,,,,,,NOR
,Anatomical Pathology Test Name,Hospital Discharge,Dec-05,,Investigation,Nama ujian makmal anatomical patalogi,Name of anatomical pathology tests ordered,,Alphanumeric,80 characters,,Refer SNOMED CT,SNOMED CT
,Anatomical Pathology Test Result,Hospital Discharge,Dec-05,,,Keputusan ujian anatomical patologi,Report of the anatomical pathology test,,Alphanumeric,1000 characters,,Refer SNOMED CT,SNOMED CT
angina_type,Angina Type,Cardiology,May-13,,,,Indicate the patient’s symptom presentation or angina type on admission,,Alphanumeric,,Select from a shortlist,Refer to lookup table Angina Type,NCVD-ACS NCVD-PCI
,Angiography,Cardiology,May-13,,,,Imaging of blood vessels using water-soluble ionic or non-ionic X ray contrast media injected into the blood stream of arteries (arteriography) or veins (venography),,Alphanumeric,15 characters,Select from a shortlist,"01 = Yes, 02 = No, 03 = Not Applicable",NCVD-ACS NCVD-PCI
,Angiotensin II Receptor Blocker,Cardiology,May-13,,,,Indicate if the Angiotensin II receptor blocker is given to the patient,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
,Angiotensin II Receptor Blocker (ARB) Given at Discharge,Cardiology,May-13,,,,ARB administered at discharge?,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
,Angiotensin II Receptor Blocker (ARB) Given during Admission,Cardiology,May-13,,,,ARB administered during admission?,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
,Antenatal Class,Obstetric,Apr-12,,,,"Formal teaching to pregnant mothers on breastfeeding (based on 20 hours module), antenatal exercise, nutrition and warning signs",,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",MoH
,Antenatal Steroids,"Neonatology, NOR",May-13,,,,Corticosteroids given antenatally via any route to the mother at a time likely to enhance fetal lung maturation. Excludes steroids given for other reasons,Numeric,,2 character,,,Australian New Zealand Neonatal Network Data dictionary
,Antepartum Haemorrhage,NOR,May-13,,APH,,Significant haemorrhage occurring after 22 completed weeks to the end of second stage of labour,,,,,,NOR
,Anti-arrhythmic Agent,Cardiology,May-13,,,,Indicate if the Anti-arrhythmic agent was given to the patient,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
,Anti-arrhythmic Agent Given at Discharge,Cardiology,May-13,,,,Antiarrhythmic administered at discharge?,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
,Anti-arrhythmic Agent Given during Admission,Cardiology,May-13,,,,Antiarrhythmic administered during admission?,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
,Anticoagulation for Atrial Fibrillation Patient,Neurology,May-13,,,,Key performance indices: Patients with AF receiving anticoagulation upon discharge,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",
,Anti-platelet within 48 Hrs,Neurology,May-13,,,,Was patients given antiplatelet within 48 hours of admission? (KPI),,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",
apgar_score,Apgar Score at 1 Minute,"Obstetric, MNNR, NOR",Oct-06,,APGAR,Jumlah APGAR,The assigned APGAR score at 1 minute of life,,Numeric,2 characters,,Refer to lookup table Apgar Score,MoH
apgar_score,Apgar Score at 10 Minutes,Obstetric,Apr-12,,APGAR,Jumlah APGAR,The assigned APGAR score at 10 minutes of life,,Numeric,2 characters,,Refer to lookup table Apgar Score,MoH
apgar_score,Apgar Score at 5 Minutes,"Obstetric, MNNR, NOR",Apr-12,,APGAR,Jumlah APGAR,The assigned APGAR score at 5 minutes of life,,Numeric,2 characters,,Refer to lookup table Apgar Score,MoH
approach_used_antegrade,Approach Used - Antegrade,Cardiology,May-13,,,,PCI technique of wiring CTO vessel from proximal to distal captured at 3 levels,,Alphanumeric,,Select from a shortlist,Refer to lookup table Approach used - Antegrade,NCVD-PCI
approach_used_retrograde,Approach Used - Retrograde,Cardiology,May-13,,,,PCI technique of wiring CTO vessel from distal to proximal through collateral vessel at 3 levels,,Alphanumeric,,Select from a shortlist,Refer to lookup table Approach used - Retrograde,NCVD-PCI
,ARB,Cardiology,May-13,,,,Indicate if the ARB is given to the patient,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
,Arrhythmia (VT/VF/Brady),Cardiology,May-13,,,,Indicate if the patient suffered a new episode or acute recurrence of an atrial or ventricular arrhythmia requiring treatment or a new episode of high-level A-V A-V block with bradycardia requiring pacing block (defined as third-degree A-V block or second-degree),,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
,ASA Given at Discharge,Cardiology,May-13,,,,ASA administered at discharge?,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
,ASA Given during Admission,Cardiology,May-13,,,,ASA administered during admission?,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
,Aspirin,Cardiology,May-13,,,,Indicate if Aspirin medication was given to the patient,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
,Assisted Conception,NOR,May-13,,,,Methods used to achieve pregnancy by artificial or partially artificial means eg: clomid,,,,,,NOR
asthma_gina_classification,Asthma GINA Classification,Respiratory,May-13,,,,International accepted staging of Asthma severity 2009,,Alphanumeric,,,Refer to lookup table Asthma GINA Classification,
att_immunization,ATT Immunization,Obstetric,Apr-12,,,,Anti tetanus toxoid given during current pregnancy. Complete denotes 2 doses for primigravida and 1 dose for multigravida,,Numeric,2 characters,,Refer to lookup table ATT Immunization,MoH
,Autopsy Number,Forensic,Sep-12,,Post-mortem number,Nombor bedah siasat,A unique sequential identifying number for forensic post mortem,,Alphanumeric,15 characters,,,
,Axillary Lymph Nodes Examined,Radiotherapy & Oncology,May-13,,,,The number of surgically excised axillary nodes examined histopathologically,,Numeric,2 characters,,,
,Axillary Lymph Nodes Positive for Metastasis,Radiotherapy & Oncology,May-13,,,,The number of malignant or positive axillary nodes examined histopathologically,,Numeric,2 characters,,,
,Bail-out CABG,Cardiology,May-13,,,,"Urgent/emergent CABG as a complication related to the index PCI (e.g.- secondary to stent thrombosis, left main or TVR dissection, coronary perforation, unsuccessful INDEX PCI). This also applies to where the CABG was precipitated due to worsening, sudden chest pain, CHF, AMI or anatomy",,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
,Baseline Creatinine,Cardiology,May-13,,,,The baseline serum creatinine level in μmol/L. Record the absolute result of the most recent serum creatinine measurement,,Numeric,,,,NCVD-PCI
baseline_ecg,Baseline ECG,Cardiology,May-13,,,,A recording of the electrical activity of the heart. An ECG can detect areas of muscle deprived of oxygen and/or dead tissue in the heart,,Alphanumeric,,Select from a shortlist,Refer to lookup table Baseline ECG,NCVD-ACS
basic_periodontal_examination,Basic Periodontal Examination (BPE),Oral Health,Sep-12,,Periodontal Screening and Recording (PSR),,An index to measure periodontal status for treatment planning and referral purposes,,Alphanumeric,1 character,,Refer to lookup table Basic Periodontal Examination (BPE),MoH
basis_for_the_diagnosis_of_armd,Basis for the Diagnosis of ARMD,Ophthalmology,May-13,,,,The criteria in which the diagnosis of ARMD was made,,Alphanumeric,,Select from a shortlist,Refer to lookup table Basis for the Diagnosis of ARMD,
,Basis of Diagnosis,Cancer,Apr-12,Apr-12,Method of diagnosis,Kaedah pengesahan diagnosis,To describe the method of making the diagnosis,,Alphanumeric,,,Refer to ICD-O,WHO International Classification of Diseases for Oncology (ICD-O) 3rd Edition
basis_of_diagnosis_of_colorectal_cancer,Basis of Diagnosis of Colorectal Cancer,Colorectal Cancer,May-13,,,Bukti diagnosa kanser kolorektal,The basis in which the diagnosis was confirmed in colorectal cancer (methods employed in arriving at a diagnosis),,Alphanumeric,,,Refer to lookup table Basis of Diagnosis of Colorectal Cancer,
,BBA,NOR,,May-13,,,Delivery that occur in transit/enroute before arrival to a health facility,,,,,,NOR
beneficiary_status,Beneficiary Status,Person Record,Dec-05,,,Status penerima faedah (benefisiari),Beneficiary status as documented in NHI policy,,Alphanumeric,15 characters,,Refer to lookup table Beneficiary Status,
,Beta Blocker,Cardiology,May-13,,,,Indicate if beta blocker was given to the patient,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
,Beta Blocker Given at Discharge,Cardiology,May-13,,,,Beta blocker administered at discharge?,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
,Beta Blocker Given during Admission,Cardiology,May-13,,,,Beta blocker administered during admission?,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
billing_category,Billing Category,Person Record,Dec-05,Apr-12,,Kategori pembayar,Describe payor group,,Alphanumeric,50 characters,Select from a shortlist,Refer to lookup table Billing Category,
,Biologic Treatment Indication,Dermatology,May-13,,,,Specify the reasons for starting biologic treatment,,Alphanumeric,70 characters,,,
biometry_technique,Biometry Technique,Ophthalmology,May-13,,,,Denotes method of measuring axial length of the globe,,Alphanumeric,,Select from a shortlist,Refer to lookup table Biometry Technique,
biopsy_confirmed_distant_metastasis_in_colorectal_cancer,Biopsy Confirmed Distant Metastasis in Colorectal Cancer,Colorectal Cancer,May-13,,,Pengesahan biopsi penyakit jauh kolorektal kanser,Describes if distant metastasis exists on biopsy in colorectal cancer,,Alphanumeric,,,Refer to lookup table Biopsy Confirmed Distant Metastasis in Colorectal Cancer,
birth_attendant,Birth Attendant,Obstetric,Oct-06,Apr-12,,Penyambut kelahiran terakhir,Denotes final person who conducted delivery,,Alphanumeric,,,Refer to lookup table Birth Attendant,NOR
,Birth Head Circumference,Obstetric,Oct-06,Apr-12,,Lilitan kepala,Head circumference of baby measured at birth in centimetres,,Numeric,4 characters with 2 decimal points,,,
,Birth Length,Obstetric,Oct-06,Apr-12,,Ukuran panjang,Length of baby at birth measured in centimetre (cm),,Numeric,4 characters with 2 decimal points,,,
,Birth Weight,"Obstetric, MNNR, NOR",May-13,,Weight at birth,Berat badan masa lahir,Weight at birth,,Numeric,4 characters,,,"WHO, Malaysian National Neonatal Registry (MNNR)"
,Bivalirudin,Cardiology,May-13,,,,Indicate if Bivalirudin medication was given to the patient,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
,Bleeding,Cardiology,May-13,,,,The person’s episode of bleeding as described by the thrombolysis in myocardial infarction (TIMI)criteria. Indicate if bleeding occurred during or after the cath. lab visit until discharge. The bleeding should require a transfusion and/or prolong the hospital stay and/or cause a drop in haemoglobin > 3.0 gm/dl,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
bleeding_complication,Bleeding Complication,Cardiology,May-13,,,,The person’s episode of bleeding as described by the thrombolysis in myocardial infarction (TIMI) criteria. Indicate if bleeding occurred during or after the cath. lab visit until discharge. The bleeding should require a haemoglobin > 3.0 gm/dl,,Alphanumeric,,Select from a shortlist,Refer to lookup table Bleeding Complication,NCVD-ACS
bleeding_severity,Bleeding Severity,Cardiology,May-13,,,,The severity of bleeding following treatment in patients with STEMI,,Alphanumeric,3 characters,Select from a shortlist,Refer to lookup table Bleeding Severity,NCVD-PCI
bleeding_site,Bleeding Site,Cardiology,May-13,,,,Indicate the site of the bleeding,,Alphanumeric,,Select from a shortlist,Refer to lookup table Bleeding Site,NCVD-PCI
blood_donor_status,Blood Donor Status,Person Record,Dec-05,Apr-12,,Status pendermaan darah,Blood donor status as per donor card,,Alphanumeric,10 characters,,Refer to lookup table Blood Donor Status,
blood_group,Blood Group,Transplant,May-13,,,Golongan darah,Blood group of organ donor,Mandatory,Alphanumeric,2 characters,Select from a shortlist,Refer to lookup table Blood Group,
,Blood Pressure,NOR,May-13,,BP,,The pressure or tension of the blood within the systemic arteries reported in mmHg,,mmHg,3 characters,,,NOR
,Blood Sugar Level,Nuclear Medicine,Sep-12,,,,Blood Sugar Level prior to injection of radionuclide substance in mmol/L,,Numeric,3 characters,,,
,Body Mass Index (BMI),"Mental Health/Psychiatric, Cardiology",May-13,,,,"A measurement of the relative percentages of fat and muscle mass in the human body, in which weight in kilograms is divided by height in meters and the result used as an index of obesity (kgm-2). Weight (kg) / [height(m) x height (m)]",,Numeric,,System to auto calculate from weight (kg) and height (m),,NCVD-ACS NCVD-PCI
,Body Release,Forensic,Sep-12,,,Serahan mayat,Handing over of dead body to appropriate parties from the purpose of disposal,,Alphanumeric,80 characters,,,
,Body Surface Area Assessment (BSA) in Psoriasis,Dermatology,May-13,,,,Percentage of body surface area involvement in psoriasis patient,,Alphanumeric,3 characters,,,
,Brain Death Criteria,Transplant,May-13,,,,Fulfils criteria of known documented brain insult or pathology; GCS 3/15; apnoeic; intubated & ventilated; both pupils fixed & dilated; and no gag or cough reflex,,Alphanumeric,,,,
,Brain Death Test,Transplant,May-13,,,Ujian pengesahan mati otak,Assessment of brain death based on either Consensus Statement on Brain Death or standard medical guidelines,,Alphanumeric,,,,
,BTL,NOR,May-13,,Bilateral Tubal Ligation,,Surgical procedure made over both the fallopian tube eg: ligation and resection for sterilization,,,,,,NOR
,Burr Size,Cardiology,May-13,,,,Size of rotablator device,,Numeric,,Type in,,NCVD-PCI
,Caesarean Section,NOR,May-13,,,,Surgical procedure in which incisions are made through a woman’s abdomen and uterus to deliver her baby,,,,,,NOR
calcification,Calcification,Cardiology,May-13,,,,Level of hardened calcium deposits in the blood vessels,,Alphanumeric,,Select from a shortlist,Refer to lookup table Calcification,NCVD-PCI
,Calcium Antagonist,Cardiology,May-13,,,,Indicate if calcium antagonist was given to the patient,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
,Calcium Antagonist Given at Discharge,Cardiology,May-13,,,,Calcium antagonist administered given at discharge?,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
,Calcium Antagonist Given during Admission,Cardiology,May-13,,,,Calcium antagonist administered during admission?,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
canadian_cardiovascular_score_classification,Canadian Cardiovascular Score (CCS) Classification,Cardiology,May-13,,,,Canadian Cardiovascular Society Grading System score for describing and categorising effort-related angina,,Alphanumeric,,Select from a shortlist,Refer to lookup table Canadian Cardiovascular Score (CCS) Classification,NCVD-ACS NCVD-PCI
,Cancer Diagnosis,Radiotherapy & Oncology,Sep-12,,"Diagnosis as per biopsy, diagnosis by HPE",Diagnosis kanser,The cancer diagnosis has already been proven by biopsy,,Alphanumeric,5 characters,,,ICD10: Malignant Neoplasm Block (C00-C99)
,Cardiac Compression at Initial Resuscitation,MNNR,May-13,,Cardiac massage,,External cardiac massage given in the delivery room or during the initial resuscitation performed immediately after birth,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",ANZNN Data Dictionary
,Cardiac Perforation,Cardiology,May-13,,,,Indicate if the patient has cardiac perforation which occurred during PCI,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
,Cardiac Tamponade,Cardiology,May-13,,,,Indicate if the patient has cardiac tamponade when the patient had a PCI,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
,Cardiogenic Shock (Post Procedure),Cardiology,May-13,,,,"Clinical criteria for cardiogenic shock are: 1 Hypotension (a systolic blood pressure of less than 90 mmHg for at least 30 minutes or the need for supportive measures to maintain a least 30 minutes or the need for supportive measures to maintain a systolic blood pressure of greater than or equal to 90mmHg) - end-organ hypoperfusion (cool extremities or a urine output of less than 30 ml/h, and a heart rate of greater than or equal to 60 beats per minute) 2. The haemodynamic criteria are a cardiac index of less than 2.2 l/min per square meter of bodysurface area and a pulmonary-capillary wedge pressure of more than 18 mmHg",,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
care_provider_discipline,Care Provider Discipline,Hospital Discharge,Dec-05,,Care giver department,Jabatan/Disiplin pemberi rawatan,Refers to the department/discipline providing direct care/follow up care to the patient,,Alphanumeric,30 characters,,Refer to lookup table Care Provider Discipline,MoH
,Care Provider Name,Hospital Discharge,Mar-03,,Care giver name,Nama pemberi rawatan,Name of the care provider involve in direct care to the patient,,Alphanumeric,80 characters,,NA,NA
,Care Provider Registration Number,Hospital Discharge,Apr-12,,Care provider registration number,Nombor pendaftaran pemberi rawatan,MMC/MDC registration number,,Numeric,6 characters,Type in,,MoH (MMC/MDC)
